filename,source_run,event_type,actual_visible_content,reconciliation_status,action_taken,replacement_filename,duration,resolution,fps,file_size_bytes,thumbnail_first,thumbnail_mid,thumbnail_last,notes
preflight_test.mp4,phase1c,preflight,"Live gameplay visible; not black",MATCHES_DESCRIPTION,KEEP,,00:00:32.20,1864x860,25,15015002,assets/video-thumbs/preflight_test_p00.jpg,assets/video-thumbs/preflight_test_p50.jpg,assets/video-thumbs/preflight_test_p95.jpg,"Valid preflight baseline"
video_01_idle_to_spin.mp4,phase1c,idle_to_spin,"Spin/result content present; idle start not clean",MISDESCRIBED,RELABEL,,00:00:10.64,1864x860,25,7263059,assets/video-thumbs/video_01_idle_to_spin_p00.jpg,assets/video-thumbs/video_01_idle_to_spin_p50.jpg,assets/video-thumbs/video_01_idle_to_spin_p95.jpg,"Do not treat as strict idle->spin proof"
video_02_losing_spin.mp4,phase1c,losing_spin,"Sampled frames include non-zero win overlay",MISDESCRIBED,RELABEL,,00:00:16.36,1864x860,25,6233313,assets/video-thumbs/video_02_losing_spin_p00.jpg,assets/video-thumbs/video_02_losing_spin_p50.jpg,assets/video-thumbs/video_02_losing_spin_p95.jpg,"Not a pure losing-spin artifact"
video_03_nonzero_win.mp4,phase1c,nonzero_win,"Non-zero win state and settle are visible",MATCHES_DESCRIPTION,KEEP,,00:00:14.40,1864x860,25,8871641,assets/video-thumbs/video_03_nonzero_win_p00.jpg,assets/video-thumbs/video_03_nonzero_win_p50.jpg,assets/video-thumbs/video_03_nonzero_win_p95.jpg,"Usable win evidence"
video_04_menu_overlay.mp4,phase1c,menu_overlay,"Menu open/close behavior visible",MATCHES_DESCRIPTION,KEEP,,00:00:10.80,1864x860,25,2395977,assets/video-thumbs/video_04_menu_overlay_p00.jpg,assets/video-thumbs/video_04_menu_overlay_p50.jpg,assets/video-thumbs/video_04_menu_overlay_p95.jpg,"Usable menu evidence"
video_05_rules_or_howto.mp4,phase1c,rules_or_howto,"Menu-state frames observed; rules/how-to panel not clearly shown",WRONG_PURPOSE,RELABEL,,00:00:18.64,1864x860,25,3694822,assets/video-thumbs/video_05_rules_or_howto_p00.jpg,assets/video-thumbs/video_05_rules_or_howto_p50.jpg,assets/video-thumbs/video_05_rules_or_howto_p95.jpg,"Do not use as rules proof"
video_06_bet_change_and_jackpots.mp4,phase1c,bet_change_jackpots,"Contains non-target states; not a clean multi-bet jackpot probe",WRONG_PURPOSE,RELABEL,,00:00:20.88,1864x860,25,5478796,assets/video-thumbs/video_06_bet_change_and_jackpots_p00.jpg,assets/video-thumbs/video_06_bet_change_and_jackpots_p50.jpg,assets/video-thumbs/video_06_bet_change_and_jackpots_p95.jpg,"Do not use as bet/jackpot table proof"
video_07_hold_for_turbo_probe.mp4,phase1c,hold_for_turbo_probe,"Mixed states; hold behavior not isolated clearly",MISDESCRIBED,RELABEL,,00:00:16.28,1864x860,25,7825886,assets/video-thumbs/video_07_hold_for_turbo_probe_p00.jpg,assets/video-thumbs/video_07_hold_for_turbo_probe_p50.jpg,assets/video-thumbs/video_07_hold_for_turbo_probe_p95.jpg,"Inconclusive for hold semantics"
video_08_autoplay_probe.mp4,phase1c,autoplay_probe,"Old clip does not cleanly prove autonomous repeated spins",NEEDS_REPLACEMENT,REPLACE,video_08_autoplay_probe_FIXED.mp4,00:00:28.20,1864x860,25,26123309,assets/video-thumbs/video_08_autoplay_probe_p00.jpg,assets/video-thumbs/video_08_autoplay_probe_p50.jpg,assets/video-thumbs/video_08_autoplay_probe_p95.jpg,"Replaced with fixed autoplay evidence"
video_09_buy_bonus_probe.mp4,phase1c,buy_bonus_probe,"Buy bonus modal/options are visible in committed media",MATCHES_DESCRIPTION,KEEP,,00:00:31.20,1864x860,25,17684001,assets/video-thumbs/video_09_buy_bonus_probe_p00.jpg,assets/video-thumbs/video_09_buy_bonus_probe_p50.jpg,assets/video-thumbs/video_09_buy_bonus_probe_p95.jpg,"Primary buy-bonus truth source"
video_10_special_effect_or_collect_state.mp4,phase1c,special_effect_probe,"Special/highlighted win-effect state is visible",MATCHES_DESCRIPTION,KEEP,,00:00:21.76,1864x860,25,14133277,assets/video-thumbs/video_10_special_effect_or_collect_state_p00.jpg,assets/video-thumbs/video_10_special_effect_or_collect_state_p50.jpg,assets/video-thumbs/video_10_special_effect_or_collect_state_p95.jpg,"Usable special-state evidence"
video_11_twenty_spins_continuous.mp4,phase1c,twenty_spins_continuous,"Original does not meet strict 20-spin proof quality",NEEDS_REPLACEMENT,REPLACE,video_11_twenty_spins_continuous_FIXED.mp4,00:00:50.48,1864x860,25,22091602,assets/video-thumbs/video_11_twenty_spins_continuous_p00.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_p50.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_p95.jpg,"Replaced"
video_08_autoplay_probe_FIXED.mp4,phase1d,autoplay_probe,"Autonomous repeated spin progression visible; stop-state icon appears during run",MATCHES_DESCRIPTION,NEW_REPLACEMENT,,00:01:22.76,1864x860,25,29684574,assets/video-thumbs/video_08_autoplay_probe_FIXED_first.jpg,assets/video-thumbs/video_08_autoplay_probe_FIXED_mid.jpg,assets/video-thumbs/video_08_autoplay_probe_FIXED_last.jpg,"Used for final autoplay conclusion"
video_11_twenty_spins_continuous_FIXED.mp4,phase1d,twenty_spins_continuous,"Long continuous gameplay capture with repeated spin/result cycles",MATCHES_DESCRIPTION,NEW_REPLACEMENT,,00:04:47.00,1864x860,25,17560518,assets/video-thumbs/video_11_twenty_spins_continuous_FIXED_first.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_FIXED_mid.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_FIXED_last.jpg,"Used for final 20-spin reconciliation"
video_09_buy_bonus_probe_FIXED.mp4,phase1d,buy_bonus_probe,"Captured spin/autoplay-like states; no clean buy-bonus modal proof",WRONG_PURPOSE,NOT_USED,,00:04:05.64,1864x860,25,64431603,assets/video-thumbs/video_09_buy_bonus_probe_FIXED_first.jpg,assets/video-thumbs/video_09_buy_bonus_probe_FIXED_mid.jpg,assets/video-thumbs/video_09_buy_bonus_probe_FIXED_last.jpg,"Kept as non-primary artifact"
